Symptom,Disease,Disease group (English name),Disease group (Sinhala name),Dosha types
Excessive menstruation,Raktapitta,Endogenous,Nija Roga,Pitta
Skin rashes,Raktapitta,Endogenous,Nija Roga,Pitta
Skin discoloration,Kushtha,Endogenous,Nija Roga,Pitta and Kapha
Scaly skin patches,Kushtha,Endogenous,Nija Roga,Kapha
Chronic itching,Kushtha,Endogenous,Nija Roga,Pitta
Leucoderma patches,Shwitra,Endogenous,Nija Roga,Pitta and Kapha
Eczema,Vicharchika,Endogenous,Nija Roga,Pitta and Kapha
Pustules,Kushtha,Endogenous,Nija Roga,Pitta
Hair loss,Indralupta,Endogenous,Nija Roga,Vata and Pitta
Bald patches,Indralupta,Endogenous,Nija Roga,Vata
Premature greying,Palitya,Endogenous,Nija Roga,Pitta
Dry skin,Rukshata,Endogenous,Nija Roga,Vata
Dry mouth,Trishna,Endogenous,Nija Roga,Vata
Cracked lips,Trishna,Endogenous,Nija Roga,Vata
Burning sensation,Daha,Endogenous,Nija Roga,Pitta
Excessive hunger,Kshudhadhikya,Endogenous,Nija Roga,Pitta
Loss of hunger,Kshudha Mandya,Endogenous,Nija Roga,Kapha
Sleepiness,Nidra Adhikya,Endogenous,Nija Roga,Kapha
Insomnia,Nidranasha,Endogenous,Nija Roga,Vata
Anxiety,Chittodvega,Endogenous,Nija Roga,Vata
Depression,Vishada,Endogenous,Nija Roga,Vata and Kapha
Delusion,Unmada,Endogenous,Nija Roga,Vata and Pitta
Epileptic fits,Apasmara,Endogenous,Nija Roga,Vata
Memory loss,Smritibhramsha,Endogenous,Nija Roga,Vata
Confusion,Unmada,Endogenous,Nija Roga,Vata
Chronic cough,Kasa,Endogenous,Nija Roga,Vata and Kapha
Dry cough,Kasa,Endogenous,Nija Roga,Vata
Productive cough,Kasa,Endogenous,Nija Roga,Kapha
Asthma attack,Shvasa,Endogenous,Nija Roga,Vata and Kapha
Breathlessness,Shvasa,Endogenous,Nija Roga,Vata
Wheezing,Shvasa,Endogenous,Nija Roga,Vata
Chest tightness,Shvasa,Endogenous,Nija Roga,Vata
Cold sensation,Sheetajvara,Endogenous,Nija Roga,Vata
Hot flushes,Pittajvara,Endogenous,Nija Roga,Pitta
Heaviness in body,Kaphajvara,Endogenous,Nija Roga,Kapha
Body ache,Jvara,Endogenous,Nija Roga,Vata
Shivering,Jvara,Endogenous,Nija Roga,Vata
Night sweats,Jvara,Endogenous,Nija Roga,Pitta
Palpitations,Hridayaroga,Endogenous,Nija Roga,Vata
Chest pain,Hridayaroga,Endogenous,Nija Roga,Vata
Irregular heartbeat,Hridayaroga,Endogenous,Nija Roga,Vata
Hypertension,Raktagata Vata,Endogenous,Nija Roga,Vata
Low blood pressure,Raktakshaya,Endogenous,Nija Roga,Vata
Edema,Shotha,Endogenous,Nija Roga,Kapha
Swollen feet,Shotha,Endogenous,Nija Roga,Kapha
Ascites,Jalodara,Endogenous,Nija Roga,Kapha
Abdominal distension,Jalodara,Endogenous,Nija Roga,Vata and Kapha
Jaundice,Kamala,Endogenous,Nija Roga,Pitta
Yellow skin,Kamala,Endogenous,Nija Roga,Pitta
Dark urine,Kamala,Endogenous,Nija Roga,Pitta
Itchy skin with jaundice,Kamala,Endogenous,Nija Roga,Pitta
Loss of appetite with jaundice,Kamala,Endogenous,Nija Roga,Pitta
Urinary burning,Mutrakrichra,Endogenous,Nija Roga,Pitta
Painful urination,Mutrakrichra,Endogenous,Nija Roga,Pitta
Scanty urine,Mutrakrichra,Endogenous,Nija Roga,Vata
Urinary retention,Mutraghata,Endogenous,Nija Roga,Vata
Kidney stone,Mutrashmari,Endogenous,Nija Roga,Vata and Kapha
Colicky abdominal pain,Mutrashmari,Endogenous,Nija Roga,Vata
Painful ejaculation,Shukravaha Roga,Endogenous,Nija Roga,Vata
Infertility,Vandhyatva,Endogenous,Nija Roga,Vata and Kapha
Loss of libido,Shukra Kshaya,Endogenous,Nija Roga,Vata
Premature ejaculation,Shukra Kshaya,Endogenous,Nija Roga,Vata
Impotence,Klaibya,Endogenous,Nija Roga,Vata and Kapha
Menstrual pain,Kashtartava,Endogenous,Nija Roga,Vata
Irregular periods,Artava Vyapad,Endogenous,Nija Roga,Vata and Pitta
Heavy bleeding,Artava Vyapad,Endogenous,Nija Roga,Pitta
Scanty periods,Artava Kshaya,Endogenous,Nija Roga,Vata
Infertility (female),Vandhyatva,Endogenous,Nija Roga,Vata and Kapha
Breast pain,Stanya Dushti,Endogenous,Nija Roga,Vata and Pitta
Galactorrhea,Stanya Dushti,Endogenous,Nija Roga,Kapha
Decreased lactation,Stanya Kshaya,Endogenous,Nija Roga,Vata
Back pain,Katigraha,Endogenous,Nija Roga,Vata
Neck stiffness,Manyagraha,Endogenous,Nija Roga,Vata
Frozen shoulder,Apabahuka,Endogenous,Nija Roga,Vata
Tremors,Kampavata,Endogenous,Nija Roga,Vata
Paralysis,Pakshaghata,Endogenous,Nija Roga,Vata
Facial paralysis,Ardita,Endogenous,Nija Roga,Vata
Slurred speech,Ardita,Endogenous,Nija Roga,Vata
Drooping eyelid,Ardita,Endogenous,Nija Roga,Vata
Memory decline,Smriti Nasha,Endogenous,Nija Roga,Vata
Excessive sleep,Nidra Adhikya,Endogenous,Nija Roga,Kapha
Sleep walking,Nidra Vyadhi,Endogenous,Nija Roga,Vata
Dream disturbances,Nidra Vyadhi,Endogenous,Nija Roga,Vata and Pitta
Constipation,Anaha,Endogenous,Nija Roga,Vata
Hard stools,Anaha,Endogenous,Nija Roga,Vata
Abdominal pain with constipation,Anaha,Endogenous,Nija Roga,Vata
Gas retention,Adhmana,Endogenous,Nija Roga,Vata
Belching,Udgar,Endogenous,Nija Roga,Kapha
Flatulence,Adhmana,Endogenous,Nija Roga,Vata
Cut wound,Vrana,Exogenous,Āgantuka Roga,Vata and Pitta
Laceration,Vrana,Exogenous,Āgantuka Roga,Vata and Pitta
Burn injury,Dagdha Vrana,Exogenous,Āgantuka Roga,Pitta
Blister after burn,Dagdha Vrana,Exogenous,Āgantuka Roga,Pitta
Swelling after injury,Shotha,Exogenous,Āgantuka Roga,Kapha
Bleeding wound,Raktasrava,Exogenous,Āgantuka Roga,Pitta
Bruise,Abhighata Vrana,Exogenous,Āgantuka Roga,Vata
Fracture,Bhagna,Exogenous,Āgantuka Roga,Vata
Dislocation,Asthi Bhagna,Exogenous,Āgantuka Roga,Vata
Sprain,Snayu Abhighata,Exogenous,Āgantuka Roga,Vata
Muscle tear,Mamsa Vrana,Exogenous,Āgantuka Roga,Vata
Animal bite,Vyala Damsa,Exogenous,Āgantuka Roga,Vata and Pitta
Dog bite,Shvavidamsa,Exogenous,Āgantuka Roga,Vata and Pitta
Snake bite,Sarpa Damsa,Exogenous,Āgantuka Roga,Vata and Pitta
Scorpion sting,Vrischika Damsa,Exogenous,Āgantuka Roga,Vata and Pitta
Spider bite,Luta Damsa,Exogenous,Āgantuka Roga,Vata and Kapha
Insect bite,Kitaka Damsa,Exogenous,Āgantuka Roga,Vata and Pitta
Itching after bite,Kitaka Damsa,Exogenous,Āgantuka Roga,Kapha
Redness after bite,Kitaka Damsa,Exogenous,Āgantuka Roga,Pitta
Pus formation,Vrana Shopha,Exogenous,Āgantuka Roga,Kapha
Infected wound,Dushta Vrana,Exogenous,Āgantuka Roga,Pitta and Kapha
Foul-smelling wound,Dushta Vrana,Exogenous,Āgantuka Roga,Kapha
Non-healing ulcer,Dushta Vrana,Exogenous,Āgantuka Roga,Vata
Pain at wound site,Vrana Vedana,Exogenous,Āgantuka Roga,Vata
Burning pain,Vrana Daha,Exogenous,Āgantuka Roga,Pitta
Crushed injury,Abhighata,Exogenous,Āgantuka Roga,Vata
Skin laceration,Charmabhighata,Exogenous,Āgantuka Roga,Vata
Eye trauma,Netra Abhighata,Exogenous,Āgantuka Roga,Vata
Nose injury,Nasa Abhighata,Exogenous,Āgantuka Roga,Vata
Ear injury,Karna Abhighata,Exogenous,Āgantuka Roga,Vata
Head injury,Shiroroga Abhighata,Exogenous,Āgantuka Roga,Vata
Concussion,Shiroroga Abhighata,Exogenous,Āgantuka Roga,Vata
Loss of consciousness,Murchha,Exogenous,Āgantuka Roga,Vata
Seizure after trauma,Apasmara,Exogenous,Āgantuka Roga,Vata
Shock after trauma,Murchha,Exogenous,Āgantuka Roga,Vata
Heat stroke,Suryaatap Janya Jvara,Exogenous,Āgantuka Roga,Pitta
Sunburn,Suryaatap Dagdha,Exogenous,Āgantuka Roga,Pitta
Excessive thirst from heat,Trishna,Exogenous,Āgantuka Roga,Pitta
Dizziness from sun,Suryaatap Janya Roga,Exogenous,Āgantuka Roga,Pitta
Cold exposure injury,Sheetajanya Vyadhi,Exogenous,Āgantuka Roga,Vata
Frostbite,Sheetadagdha,Exogenous,Āgantuka Roga,Vata
Numbness from cold,Sheetajanya Vyadhi,Exogenous,Āgantuka Roga,Vata
Rigidity from cold,Sheetajanya Vyadhi,Exogenous,Āgantuka Roga,Vata
Poison ingestion,Visha,Exogenous,Āgantuka Roga,Pitta
Vomiting from poison,Visha,Exogenous,Āgantuka Roga,Pitta
Abdominal pain from poison,Visha,Exogenous,Āgantuka Roga,Pitta
Excessive salivation,Visha,Exogenous,Āgantuka Roga,Kapha
Convulsions from poison,Visha,Exogenous,Āgantuka Roga,Vata
Skin discoloration from poison,Visha,Exogenous,Āgantuka Roga,Pitta
Drowsiness from poison,Visha,Exogenous,Āgantuka Roga,Kapha
Loss of speech after trauma,Vakgraha,Exogenous,Āgantuka Roga,Vata
Paralysis after trauma,Pakshaghata,Exogenous,Āgantuka Roga,Vata
Eye redness after injury,Netra Vrana,Exogenous,Āgantuka Roga,Pitta
Blurred vision after trauma,Netra Abhighata,Exogenous,Āgantuka Roga,Vata
Tooth fracture,Danta Bhagna,Exogenous,Āgantuka Roga,Vata
Jaw dislocation,Hanu Bhagna,Exogenous,Āgantuka Roga,Vata
Bleeding gums after injury,Danta Roga,Exogenous,Āgantuka Roga,Pitta
Voice loss after trauma,Swara Bheda,Exogenous,Āgantuka Roga,Vata
Throat injury,Kantha Abhighata,Exogenous,Āgantuka Roga,Vata
Hoarseness after trauma,Swara Bheda,Exogenous,Āgantuka Roga,Vata
Chest pain after injury,Urah Abhighata,Exogenous,Āgantuka Roga,Vata
Cough with blood after trauma,Urah Abhighata,Exogenous,Āgantuka Roga,Vata and Pitta
Difficulty breathing after trauma,Pranavaha Abhighata,Exogenous,Āgantuka Roga,Vata
Abdominal swelling after trauma,Udara Abhighata,Exogenous,Āgantuka Roga,Vata and Kapha
Blood in stool after trauma,Purishavaha Abhighata,Exogenous,Āgantuka Roga,Pitta
Urine retention after trauma,Mutravaha Abhighata,Exogenous,Āgantuka Roga,Vata
Blood in urine after trauma,Mutravaha Abhighata,Exogenous,Āgantuka Roga,Pitta
Skin tear from injury,Charmabhighata,Exogenous,Āgantuka Roga,Vata
Pus discharge from wound,Dushta Vrana,Exogenous,Āgantuka Roga,Kapha
Gangrene,Dushta Vrana,Exogenous,Āgantuka Roga,Vata and Pitta
Bone infection after trauma,Asthi Dushti,Exogenous,Āgantuka Roga,Vata and Pitta
Chronic wound ulcer,Dushta Vrana,Exogenous,Āgantuka Roga,Vata and Kapha
Painful swelling,Shotha,Exogenous,Āgantuka Roga,Vata and Kapha
Ulcer with burning pain,Vrana Daha,Exogenous,Āgantuka Roga,Pitta
Wound with itching,Vrana Kandu,Exogenous,Āgantuka Roga,Kapha
Excessive bleeding after trauma,Raktasrava,Exogenous,Āgantuka Roga,Pitta
Eye swelling after trauma,Netra Shopha,Exogenous,Āgantuka Roga,Kapha
Skin rash after insect bite,Kitaka Damsa,Exogenous,Āgantuka Roga,Pitta
Skin ulcer after bite,Vrana Damsa,Exogenous,Āgantuka Roga,Vata and Pitta
Severe burning after bite,Vrana Daha,Exogenous,Āgantuka Roga,Pitta
Paralysis from snake bite,Sarpa Damsa,Exogenous,Āgantuka Roga,Vata
Respiratory difficulty from bite,Sarpa Damsa,Exogenous,Āgantuka Roga,Vata and Kapha
Nausea from bite poison,Sarpa Damsa,Exogenous,Āgantuka Roga,Pitta
Sweating from poison,Sarpa Damsa,Exogenous,Āgantuka Roga,Pitta
Weakness from envenomation,Sarpa Damsa,Exogenous,Āgantuka Roga,Vata
Type 1 diabetes,Prameha,Hereditary,Sahaja,Pitta and Kapha
Childhood obesity,Sthoulya,Hereditary,Sahaja,Kapha
Congenital blindness,Andhya,Hereditary,Sahaja,Vata and Pitta
Congenital deafness,Badhirya,Hereditary,Sahaja,Vata
Cleft lip,Oshtha Vikriti,Hereditary,Sahaja,Vata
Cleft palate,Talu Vikriti,Hereditary,Sahaja,Vata
Congenital heart disease,Hridaya Vikara,Hereditary,Sahaja,Vata and Kapha
Sickle cell anemia,Rakta Vikriti,Hereditary,Sahaja,Pitta
Thalassemia,Rakta Vikriti,Hereditary,Sahaja,Pitta
Hemophilia,Rakta Dushti,Hereditary,Sahaja,Pitta
Congenital cataract,Timira,Hereditary,Sahaja,Kapha
Color blindness,Netra Vikriti,Hereditary,Sahaja,Pitta
Night blindness,Timira,Hereditary,Sahaja,Vata
Glaucoma tendency,Netra Roga,Hereditary,Sahaja,Vata and Kapha
Asthma tendency,Shvasa,Hereditary,Sahaja,Vata and Kapha
Allergic rhinitis,Pratishyaya,Hereditary,Sahaja,Kapha
Congenital baldness,Indralupta,Hereditary,Sahaja,Vata and Pitta
Early greying hair,Palitya,Hereditary,Sahaja,Pitta
Vitiligo,Shwitra,Hereditary,Sahaja,Pitta and Kapha
Psoriasis,Kushtha,Hereditary,Sahaja,Pitta and Kapha
Ichthyosis,Kushtha,Hereditary,Sahaja,Vata
Atopic dermatitis,Kushtha,Hereditary,Sahaja,Kapha
Congenital skeletal deformity,Asthi Vikriti,Hereditary,Sahaja,Vata
Scoliosis,Asthi Vikriti,Hereditary,Sahaja,Vata
Clubfoot,Pada Vikriti,Hereditary,Sahaja,Vata
Polydactyly,Hasta Pada Vikriti,Hereditary,Sahaja,Vata
Syndactyly,Hasta Pada Vikriti,Hereditary,Sahaja,Vata
Congenital hip dislocation,Kati Vikriti,Hereditary,Sahaja,Vata
Dwarfism,Vamana,Hereditary,Sahaja,Vata
Gigantism,Ativridhi,Hereditary,Sahaja,Kapha
Marfan syndrome,Snayu Vikriti,Hereditary,Sahaja,Vata
Muscular dystrophy,Mamsa Kshaya,Hereditary,Sahaja,Vata
Cystic fibrosis,Kapha Janya Roga,Hereditary,Sahaja,Kapha
Congenital hypothyroidism,Galaganda,Hereditary,Sahaja,Kapha
Goiter tendency,Galaganda,Hereditary,Sahaja,Kapha
Congenital adrenal hyperplasia,Meda Dushti,Hereditary,Sahaja,Pitta
Obstructive sleep apnea,Nidra Vyadhi,Hereditary,Sahaja,Kapha
Epilepsy tendency,Apasmara,Hereditary,Sahaja,Vata
Migraine tendency,Ardhavabhedaka,Hereditary,Sahaja,Vata and Pitta
Schizophrenia tendency,Unmada,Hereditary,Sahaja,Vata and Pitta
Bipolar disorder tendency,Unmada,Hereditary,Sahaja,Pitta
Depression tendency,Vishada,Hereditary,Sahaja,Vata and Kapha
Anxiety tendency,Chittodvega,Hereditary,Sahaja,Vata
Autism spectrum disorder,Manas Vikriti,Hereditary,Sahaja,Vata
Attention deficit tendency,Manas Vikriti,Hereditary,Sahaja,Vata
Learning disability,Medha Hani,Hereditary,Sahaja,Vata
Speech delay,Vak Vikriti,Hereditary,Sahaja,Vata
Stammering,Vak Vikriti,Hereditary,Sahaja,Vata
Congenital mutism,Mookatwa,Hereditary,Sahaja,Vata
Infertility tendency,Vandhyatva,Hereditary,Sahaja,Vata and Kapha
Polycystic ovarian syndrome,Artava Dushti,Hereditary,Sahaja,Kapha
Endometriosis tendency,Artava Vyapad,Hereditary,Sahaja,Pitta
Early menopause,Artava Kshaya,Hereditary,Sahaja,Vata
Male pattern baldness,Indralupta,Hereditary,Sahaja,Vata and Pitta
Early puberty,Atipravritti,Hereditary,Sahaja,Pitta
Delayed puberty,Alpapravritti,Hereditary,Sahaja,Vata
Congenital obesity,Sthoulya,Hereditary,Sahaja,Kapha
Hyperlipidemia tendency,Meda Vriddhi,Hereditary,Sahaja,Kapha
Hypertension tendency,Raktagata Vata,Hereditary,Sahaja,Vata
Diabetes mellitus,Prameha,Hereditary,Sahaja,Kapha
Coronary artery disease,Hridaya Roga,Hereditary,Sahaja,Vata
Stroke tendency,Pakshaghata,Hereditary,Sahaja,Vata
Epistaxis tendency,Raktapitta,Hereditary,Sahaja,Pitta
Gout,Vatarakta,Hereditary,Sahaja,Vata and Pitta
Rheumatoid arthritis,Amavata,Hereditary,Sahaja,Vata and Kapha
Osteoarthritis,Sandhigata Vata,Hereditary,Sahaja,Vata
Ankylosing spondylitis,Asthi Sandhi Roga,Hereditary,Sahaja,Vata
Chronic kidney disease,Mutravaha Vikriti,Hereditary,Sahaja,Kapha
Polycystic kidney disease,Mutrashaya Vikriti,Hereditary,Sahaja,Kapha
Congenital urinary tract anomaly,Mutravaha Srotas Dushti,Hereditary,Sahaja,Vata
Congenital liver disorder,Yakrit Vikriti,Hereditary,Sahaja,Pitta
Wilson’s disease,Yakrit Vikriti,Hereditary,Sahaja,Pitta
Hemochromatosis,Yakrit Vikriti,Hereditary,Sahaja,Pitta
Congenital lung disease,Pranavaha Vikriti,Hereditary,Sahaja,Vata and Kapha
Bronchiectasis tendency,Pranavaha Srotas Dushti,Hereditary,Sahaja,Kapha
Alpha-1 antitrypsin deficiency,Pranavaha Vikriti,Hereditary,Sahaja,Kapha
Congenital anemia,Pandu Roga,Hereditary,Sahaja,Pitta
Congenital skin mole,Tilakalaka,Hereditary,Sahaja,Pitta
Birthmark,Tilakalaka,Hereditary,Sahaja,Kapha
Hemangioma,Raktaja Vikriti,Hereditary,Sahaja,Pitta
Albinism,Shwitra,Hereditary,Sahaja,Pitta and Kapha
Congenital hyperpigmentation,Charmavikriti,Hereditary,Sahaja,Pitta
Craniosynostosis,Shiro Vikriti,Hereditary,Sahaja,Vata
Hydrocephalus,Jala Shiro,Hereditary,Sahaja,Vata and Kapha
Microcephaly,Shiro Vikriti,Hereditary,Sahaja,Vata
Macrocephaly,Shiro Vikriti,Hereditary,Sahaja,Kapha
Down syndrome,Manas Vikriti,Hereditary,Sahaja,Vata and Kapha
Fragile X syndrome,Manas Vikriti,Hereditary,Sahaja,Vata
Turner syndrome,Artava Dushti,Hereditary,Sahaja,Vata
Klinefelter syndrome,Shukra Dushti,Hereditary,Sahaja,Vata and Kapha
Congenital hydrocele,Mutravaha Shotha,Hereditary,Sahaja,Kapha
Undescended testes,Shukra Vikriti,Hereditary,Sahaja,Vata
Congenital hernia,Antra Vriddhi,Hereditary,Sahaja,Vata
Congenital scoliosis,Asthi Vikriti,Hereditary,Sahaja,Vata
Spina bifida,Asthi Majja Vikriti,Hereditary,Sahaja,Vata
Cranial nerve palsy,Indriya Vikriti,Hereditary,Sahaja,Vata
Muscle weakness,Mamsa Kshaya,Hereditary,Sahaja,Vata
General fatigue,Kshaya,Hereditary,Sahaja,Vata
Congenital heart defect,Hridaya Vikriti,Congenital,Garbhaja,Vata and Kapha
Hole in heart,Hridaya Vikriti,Congenital,Garbhaja,Vata
Congenital muscular weakness,Mamsa Kshaya,Congenital,Garbhaja,Vata
Congenital speech delay,Vak Vikriti,Congenital,Garbhaja,Vata
Large mole,Tilakalaka,Congenital,Garbhaja,Pitta
Congenital ichthyosis,Kushtha,Congenital,Garbhaja,Vata
Congenital eczema,Vicharchika,Congenital,Garbhaja,Kapha
Congenital psoriasis,Kushtha,Congenital,Garbhaja,Pitta and Kapha
Congenital vitiligo,Shwitra,Congenital,Garbhaja,Pitta and Kapha
Congenital goiter,Galaganda,Congenital,Garbhaja,Kapha
Congenital adrenal disorder,Meda Dushti,Congenital,Garbhaja,Pitta
Congenital scoliosis curvature,Asthi Vikriti,Congenital,Garbhaja,Vata
Congenital limb deformity,Anga Vikriti,Congenital,Garbhaja,Vata
Congenital short limb,Anga Kshaya,Congenital,Garbhaja,Vata
Congenital hand deformity,Hasta Vikriti,Congenital,Garbhaja,Vata
Congenital jaw deformity,Hanu Vikriti,Congenital,Garbhaja,Vata
Congenital tooth abnormality,Danta Vikriti,Congenital,Garbhaja,Kapha
Enamel defect,Danta Vikriti,Congenital,Garbhaja,Kapha
Congenital skin rash,Charmavikriti,Congenital,Garbhaja,Pitta
Congenital nail deformity,Nakha Vikriti,Congenital,Garbhaja,Vata
Brittle nails,Nakha Vikriti,Congenital,Garbhaja,Vata
Congenital kidney anomaly,Mutravaha Vikriti,Congenital,Garbhaja,Kapha
Congenital urinary tract obstruction,Mutravaha Dushti,Congenital,Garbhaja,Vata
Congenital lung disorder,Pranavaha Vikriti,Congenital,Garbhaja,Vata and Kapha
Congenital skin dryness,Rukshata,Congenital,Garbhaja,Vata
Congenital tremors,Kampavata,Congenital,Garbhaja,Vata
Congenital paralysis,Pakshaghata,Congenital,Garbhaja,Vata
Congenital seizure tendency,Apasmara,Congenital,Garbhaja,Vata
Congenital autism tendency,Manas Vikriti,Congenital,Garbhaja,Vata
Congenital intellectual disability,Medha Hani,Congenital,Garbhaja,Vata
Congenital depression tendency,Vishada,Congenital,Garbhaja,Vata and Kapha
Congenital anxiety tendency,Chittodvega,Congenital,Garbhaja,Vata
Congenital schizophrenia tendency,Unmada,Congenital,Garbhaja,Vata and Pitta
Congenital bipolar disorder,Unmada,Congenital,Garbhaja,Pitta
Seasonal fever,Kālaja Jvara,Seasonal,Kālaja,Pitta
Sweating with fever,Kālaja Jvara,Seasonal,Kālaja,Pitta
Thirst during fever,Kālaja Jvara,Seasonal,Kālaja,Pitta
Nasal congestion,Pratishyaya,Seasonal,Kālaja,Kapha
Runny nose,Pratishyaya,Seasonal,Kālaja,Kapha
Sneezing,Pratishyaya,Seasonal,Kālaja,Vata and Kapha
Sore throat,Kantha Shotha,Seasonal,Kālaja,Kapha
Hoarseness of voice,Swarabheda,Seasonal,Kālaja,Vata
Difficulty swallowing,Kantha Roga,Seasonal,Kālaja,Vata
Burning sensation in body,Pittaja Jvara,Seasonal,Kālaja,Pitta
Bitter taste in mouth,Pittaja Jvara,Seasonal,Kālaja,Pitta
Nausea during fever,Amlapitta,Seasonal,Kālaja,Pitta
Vomiting during fever,Chhardi,Seasonal,Kālaja,Pitta
Bloating after meals,Ajeerna,Seasonal,Kālaja,Kapha
Swollen glands,Shotha,Seasonal,Kālaja,Kapha
Cold extremities,Sheetajvara,Seasonal,Kālaja,Vata
Shivering with fever,Sheetajvara,Seasonal,Kālaja,Vata
Burning eyes,Netra Daha,Seasonal,Kālaja,Pitta
Redness of eyes,Netra Roga,Seasonal,Kālaja,Pitta
Itchy eyes,Netra Roga,Seasonal,Kālaja,Kapha
Urticaria,Kushtha,Seasonal,Kālaja,Pitta and Kapha
Allergic skin reaction,Charmaroga,Seasonal,Kālaja,Pitta
Anxiety with fever,Chittodvega,Seasonal,Kālaja,Vata
Irritability with fever,Manasika Roga,Seasonal,Kālaja,Pitta
Depression during seasonal illness,Vishada,Seasonal,Kālaja,Vata and Kapha
Loss of concentration,Manasika Roga,Seasonal,Kālaja,Vata
Mild swelling of face,Shotha,Seasonal,Kālaja,Kapha
Seasonal asthma attack,Shvāsa,Seasonal,Kālaja,Vata and Kapha
Seasonal allergy,Pratishyaya,Seasonal,Kālaja,Kapha
Seasonal skin itching,Kushtha,Seasonal,Kālaja,Pitta
Seasonal body weakness,Kālaja Vyadhi,Seasonal,Kālaja,Vata
Recurrent seasonal fever,Kālaja Jvara,Seasonal,Ageing,Pitta
Chills during fever,Kālaja Jvara,Seasonal,Ageing,Vata and Pitta
Body pain with fever,Kālaja Jvara,Seasonal,Ageing,Vata
Fatigue after fever,Kālaja Jvara,Seasonal,Ageing,Vata
Cold sensation in body,Sheetajvara,Seasonal,Ageing,Vata
Burning sensation in chest,Pittaja Jvara,Seasonal,Ageing,Pitta
